Account name,Account ID,Location name,Location ID,Store code,Coordinates,URL
Expedo,1.02181E+20,ЕКСПЕДО МЕБЕЛИ,8.01011E+17,expedo-plovdiv,,https://business.google.com/dashboard/l/09217029154216379835?pma=102180594825946057943&oi=106193774938760107416
ZORA,1.16988E+20,ZORA Botevgradsko Shose,4.12658E+18,017-Zora,"42.7095287,23.4576151",https://business.google.com/dashboard/l/14855896525296412858?pma=116987674439943774940&oi=106193774938760107416
ZORA,1.16988E+20,ЗОРА,1.00656E+19,,"42.513742,27.452809",https://business.google.com/dashboard/l/11130054616236448660?pma=116987674439943774940&oi=106193774938760107416
Siko,1.08202E+20,СИКО - Магазин Гоце Делчев - София,1.66099E+19,София Гоце Делчев,"42.6666783,23.3004538",https://business.google.com/dashboard/l/14566534178077179084?pma=108201733834279808117&oi=106193774938760107416
Lucky Bansko,1.04108E+20,Apart Hotel Lucky Bansko SPA & Relax,1.53881E+18,Apart Hotel Lucky Bansko,"41.842697,23.485171",https://business.google.com/dashboard/l/10849896020916512499?pma=104108138527546007519&oi=106193774938760107416
Linson Moto,1.17761E+20,Linson Moto - Moto Ekip,6.74046E+18,Moto Ekip Linson,"42.6442566,23.3372133",https://business.google.com/dashboard/l/16717946256408587345?pma=117760729619590521972&oi=106193774938760107416
LAZARINI,1.04512E+20,Lazarini - Мъжка мода и костюми от Пловдив,6.20196E+17,PLD1,"42.1469209,24.7484332",https://business.google.com/dashboard/l/07941935377337285039?pma=104511908153985732343&oi=106193774938760107416
